"video_id","talent_name","talent_profile","model","confidence","title_raw","content_type","published_at","topic","format","language","is_music","tags","taxonomy_version","prompt_version","created_at","title_hash","talent_id","classification_json","collaborative_energy","community_milestones","interactive_entertainment","meme_viral","monetization","narrative_serialization","performance_artistry","personality_conversation"
"5yq9VTcBm3o","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.95,"[Glitchspankr] FINDING LORE IN THIS SMACKING GAME Pt 4","live",2026-02-16 00:35:13,"gaming","live_stream","en",FALSE,"glitchspankr, lore, part_4","v4","v4",2026-02-16 00:35:40,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""glitchspankr"",""lore"",""part_4""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"1auJ3fgkihs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.9,"[Sheepherds!] Cozy doggo adventure with @haruzulux !","live",2026-02-16 00:35:13,"gaming","live_stream","en",FALSE,"sheepherds, collab, guest, haruzulux","v4","v4",2026-02-16 00:35:40,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""sheepherds"",""collab"",""guest"",""haruzulux""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"AZQFzFltJrs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.7,"Navi tells me to LISTEN, I did NOT","short",2026-02-16 00:35:13,"gaming","short_form","en",FALSE,"zelda, navi, meme","v4","v4",2026-02-16 00:35:40,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""zelda"",""navi"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"6Y6njSWs24w","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"The truth about YOUR streamers | Shepherds #vtuber #vtuberclips #shorts","short",2026-02-16 00:35:13,"lifestyle","short_form","en",FALSE,"vtuber, streamer_critique, shepherds","v4","v4",2026-02-16 00:35:40,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""vtuber"",""streamer_critique"",""shepherds""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"9bhP6V7jpfQ","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.65,"How I Dodged a SCAMMER Asking for My IG #vtuber #vtuberclips #scambait","short",2026-02-16 00:35:13,"education","short_form","en",FALSE,"scambait, scam_alert, vtuberclips","v4","v4",2026-02-16 00:35:40,"e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""education"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""scambait"",""scam_alert"",""vtuberclips""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"5ka4pz3k-xo","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.6,"NOT THE CROWN!!!??","short",2026-02-16 00:34:54,"other","short_form","en",FALSE,"reaction, short, clip","v4","v4",2026-02-16 00:35:12,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""other"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""reaction"",""short"",""clip""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4iFvJoIV1Mo","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.8,"ESCAPING THE DEPTHS OF NEOCITIES","live",2026-02-16 00:34:54,"gaming","live_stream","en",FALSE,"escape, gameplay, challenge","v4","v4",2026-02-16 00:35:12,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""escape"",""gameplay"",""challenge""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"4TsQp6WfWx8","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.9,"Im not a dog person, they frighten me [Rantcast]","live",2026-02-16 00:34:54,"lifestyle","live_stream","en",FALSE,"rant, Rantcast, dogs","v4","v4",2026-02-16 00:35:12,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""lifestyle"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""rant"",""Rantcast"",""dogs""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"44ILtjYDdW0","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.6,"Dog Slander","short",2026-02-16 00:34:54,"comedy","short_form","en",FALSE,"short, clip, absurd","v4","v4",2026-02-16 00:35:12,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""short"",""clip"",""absurd""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2I4HztTU76U","Katya_Sable_Variance_Project","katya_sable_variance_project","gpt-5-mini",0.6,"FISTFULL OF FUN  #vtuber #vtuberclips","short",2026-02-16 00:34:54,"comedy","short_form","en",FALSE,"vtuber, clip, short","v4","v4",2026-02-16 00:35:12,"f5a16eb38aa35806","0002_katya_sable_variance_project","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""vtuber"",""clip"",""short""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
