"video_id","left__video_id","left__talent_name","left__talent_profile","left__model","left__confidence","left__title_raw","left__content_type","left__published_at","left__topic","left__format","left__language","left__is_music","left__tags","left__taxonomy_version","left__prompt_version","left__created_at","left__title_hash","left__talent_id","left__classification_json","left__collaborative_energy","left__community_milestones","left__interactive_entertainment","left__meme_viral","left__monetization","left__narrative_serialization","left__performance_artistry","left__personality_conversation","right__video_id","right__talent_name","right__talent_profile","right__model","right__confidence","right__title_raw","right__content_type","right__published_at","right__topic","right__format","right__language","right__is_music","right__tags","right__taxonomy_version","right__prompt_version","right__created_at","right__title_hash","right__talent_id","right__classification_json","right__collaborative_energy","right__community_milestones","right__interactive_entertainment","right__meme_viral","right__monetization","right__narrative_serialization","right__performance_artistry","right__personality_conversation"
"AZQFzFltJrs","AZQFzFltJrs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"Navi tells me to LISTEN, I did NOT","short","2026-02-16 01:09:59","gaming","short_form","en",FALSE,"Zelda, Navi, shorts, meme","v3","v3","2026-02-15 16:43:33","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""Zelda"",""Navi"",""shorts"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"AZQFzFltJrs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.7,"Navi tells me to LISTEN, I did NOT","short","2026-02-16 01:15:51","gaming","short_form","en",FALSE,"zelda, navi, meme","v4","v4","2026-02-16 00:35:40","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""zelda"",""navi"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"9bhP6V7jpfQ","9bhP6V7jpfQ","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"How I Dodged a SCAMMER Asking for My IG #vtuber #vtuberclips #scambait","short","2026-02-16 01:09:59","lifestyle","short_form","en",FALSE,"scambait, vtuber_clips, shorts, scammer_story","v3","v3","2026-02-15 16:43:33","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""scambait"",""vtuber_clips"",""shorts"",""scammer_story""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"9bhP6V7jpfQ","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.65,"How I Dodged a SCAMMER Asking for My IG #vtuber #vtuberclips #scambait","short","2026-02-16 01:15:51","education","short_form","en",FALSE,"scambait, scam_alert, vtuberclips","v4","v4","2026-02-16 00:35:40","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""education"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""scambait"",""scam_alert"",""vtuberclips""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"6Y6njSWs24w","6Y6njSWs24w","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"The truth about YOUR streamers | Shepherds #vtuber #vtuberclips #shorts","short","2026-02-16 01:09:59","comedy","short_form","en",FALSE,"Shepherds, vtuber_clips, shorts, streamer_commentary","v3","v3","2026-02-15 16:43:33","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""comedy"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""Shepherds"",""vtuber_clips"",""shorts"",""streamer_commentary""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"6Y6njSWs24w","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.6,"The truth about YOUR streamers | Shepherds #vtuber #vtuberclips #shorts","short","2026-02-16 01:15:51","lifestyle","short_form","en",FALSE,"vtuber, streamer_critique, shepherds","v4","v4","2026-02-16 00:35:40","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""vtuber"",""streamer_critique"",""shepherds""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"5yq9VTcBm3o","5yq9VTcBm3o","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.9,"[Glitchspankr] FINDING LORE IN THIS SMACKING GAME Pt 4","live","2026-02-16 01:09:59","gaming","live_stream","en",FALSE,"Glitchspankr, lore, part_4, gameplay","v3","v3","2026-02-15 16:43:33","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""Glitchspankr"",""lore"",""part_4"",""gameplay""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"5yq9VTcBm3o","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.95,"[Glitchspankr] FINDING LORE IN THIS SMACKING GAME Pt 4","live","2026-02-16 01:15:51","gaming","live_stream","en",FALSE,"glitchspankr, lore, part_4","v4","v4","2026-02-16 00:35:40","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""glitchspankr"",""lore"",""part_4""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"1auJ3fgkihs","1auJ3fgkihs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.9,"[Sheepherds!] Cozy doggo adventure with @haruzulux !","live","2026-02-16 01:09:59","gaming","live_stream","en",FALSE,"Sheepherds, collab, guest, cozy","v3","v3","2026-02-15 16:43:33","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""Sheepherds"",""collab"",""guest"",""cozy""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1auJ3fgkihs","Terberri_Solaris_Ch","terberri_solaris_ch","gpt-5-mini",0.9,"[Sheepherds!] Cozy doggo adventure with @haruzulux !","live","2026-02-16 01:15:51","gaming","live_stream","en",FALSE,"sheepherds, collab, guest, haruzulux","v4","v4","2026-02-16 00:35:40","e4c4f351ad5ad140","0004_terberri_solaris_ch","{""topic"":""gaming"",""format"":""live_stream"",""language"":""en"",""is_music"":false,""tags"":[""sheepherds"",""collab"",""guest"",""haruzulux""],""collaborative_energy"":true,""community_milestones"":false,""interactive_entertainment"":true,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":true}",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"4xIeTrlzxQE","4xIeTrlzxQE","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.35,"DAY 14 letikobo","short","2026-02-16 01:09:29","music","short_form","other",TRUE,"advent_day, song, short","v3","v3","2026-02-15 16:43:10","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""other"",""is_music"":true,""tags"":[""advent_day"",""song"",""short""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"4xIeTrlzxQE","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"DAY 14 letikobo","short","2026-02-16 01:15:24","music","short_form","en",TRUE,"day_series, letikobo, song","v4","v4","2026-02-16 00:31:08","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""day_series"",""letikobo"",""song""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1xQOXiSYljY","1xQOXiSYljY","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.35,"Day 6 skye","short","2026-02-16 01:09:29","music","short_form","other",TRUE,"advent_day, song, short","v3","v3","2026-02-15 16:43:10","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""other"",""is_music"":true,""tags"":[""advent_day"",""song"",""short""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"1xQOXiSYljY","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 6 skye","short","2026-02-16 01:15:24","music","short_form","en",TRUE,"day_series, skye, song","v4","v4","2026-02-16 00:31:08","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""day_series"",""skye"",""song""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"0CPJh-jwCXU","0CPJh-jwCXU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.7,"Leia Day 3 Advent calendar","short","2026-02-16 01:09:29","lifestyle","short_form","en",FALSE,"advent_day, series, Leia","v3","v3","2026-02-15 16:43:10","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""advent_day"",""series"",""Leia""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"0CPJh-jwCXU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.78,"Leia Day 3 Advent calendar","short","2026-02-16 01:15:24","lifestyle","short_form","en",FALSE,"advent_calendar, holiday, Leia","v4","v4","2026-02-16 00:31:08","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""lifestyle"",""format"":""short_form"",""language"":""en"",""is_music"":false,""tags"":[""advent_calendar"",""holiday"",""Leia""],""collaborative_energy"":false,""community_milestones"":true,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"02t4eCRctRk","02t4eCRctRk","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.6,"Day 5 christmas mem","short","2026-02-16 01:09:29","music","short_form","en",TRUE,"advent_day, christmas, short","v3","v3","2026-02-15 16:43:10","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""advent_day"",""christmas"",""short""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"02t4eCRctRk","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 5 christmas mem","short","2026-02-16 01:15:24","music","short_form","en",TRUE,"advent_day, christmas, meme","v4","v4","2026-02-16 00:31:08","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""advent_day"",""christmas"",""meme""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":true,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"-67n4m1gOHU","-67n4m1gOHU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.8,"Day 11 Minu Hana","short","2026-02-16 01:09:29","music","short_form","other",TRUE,"advent_day, song, short, series","v3","v3","2026-02-15 16:43:10","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""other"",""is_music"":true,""tags"":[""advent_day"",""song"",""short"",""series""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":true,""performance_artistry"":true,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"-67n4m1gOHU","Leia_Memoria_Variance_Project","leia_memoria_variance_project","gpt-5-mini",0.65,"Day 11 Minu Hana","short","2026-02-16 01:15:24","music","short_form","en",TRUE,"day_series, Minu Hana, song","v4","v4","2026-02-16 00:31:08","dd233968e2da27d5","0003_leia_memoria_variance_project","{""topic"":""music"",""format"":""short_form"",""language"":""en"",""is_music"":true,""tags"":[""day_series"",""Minu Hana"",""song""],""collaborative_energy"":false,""community_milestones"":false,""interactive_entertainment"":false,""meme_viral"":false,""monetization"":false,""narrative_serialization"":false,""performance_artistry"":false,""personality_conversation"":false}",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
